Año;Mes;Variacion_Mensual_IPC
2016;Enero;3,60%
2016;Febrero;4,00%
2016;Marzo;3,30%
2016;Abril;6,50%
2016;Mayo;4,20%
2016;Junio;3,10%
2016;Julio;2,00%
2016;Agosto;0,20%
2016;Septiembre;1,10%
2016;Octubre;2,40%
2016;Noviembre;1,60%
2016;Diciembre;1,20%
2017;Enero;1,30%
2017;Febrero;2,50%
2017;Marzo;2,40%
2017;Abril;2,60%
2017;Mayo;1,30%
2017;Junio;1,20%
2017;Julio;1,70%
2017;Agosto;1,40%
2017;Septiembre;1,90%
2017;Octubre;1,50%
2017;Noviembre;1,40%
2017;Diciembre;3,10%
2018;Enero;1,80%
2018;Febrero;2,40%
2018;Marzo;2,30%
2018;Abril;2,70%
2018;Mayo;2,10%
2018;Junio;3,70%
2018;Julio;3,10%
2018;Agosto;3,90%
2018;Septiembre;6,50%
2018;Octubre;5,40%
2018;Noviembre;3,20%
2018;Diciembre;2,60%
2019;Enero;2,90%
2019;Febrero;3,80%
2019;Marzo;4,70%
2019;Abril;3,40%
2019;Mayo;3,10%
2019;Junio;2,70%
2019;Julio;2,20%
2019;Agosto;4,00%
2019;Septiembre;5,90%
2019;Octubre;3,30%
2019;Noviembre;4,30%
2019;Diciembre;3,70%
2020;Enero;2,30%
2020;Febrero;2,00%
2020;Marzo;3,30%
2020;Abril;1,50%
2020;Mayo;1,50%
2020;Junio;2,20%
2020;Julio;1,90%
2020;Agosto;2,70%
2020;Septiembre;2,80%
2020;Octubre;3,80%
2020;Noviembre;3,20%
2020;Diciembre;4,00%
2021;Enero;4,00%
2021;Febrero;3,60%
2021;Marzo;4,80%
2021;Abril;4,10%
2021;Mayo;3,30%
2021;Junio;3,20%
2021;Julio;3,00%
2021;Agosto;2,50%
2021;Septiembre;3,50%
2021;Octubre;3,50%
2021;Noviembre;2,50%
2021;Diciembre;3,80%
2022;Enero;3,90%
2022;Febrero;4,70%
2022;Marzo;6,70%
2022;Abril;6,00%
2022;Mayo;5,10%
2022;Junio;5,30%
2022;Julio;7,40%
2022;Agosto;7,00%
2022;Septiembre;6,20%
2022;Octubre;6,30%
2022;Noviembre;4,90%
2022;Diciembre;5,10%
2023;Enero;6,00%
2023;Febrero;6,60%
2023;Marzo;7,70%
2023;Abril;8,40%
2023;Mayo;7,80%
2023;Junio;6,00%
2023;Julio;6,30%
2023;Agosto;12,40%
2023;Septiembre;12,70%
2023;Octubre;8,30%
2023;Noviembre;12,80%
2023;Diciembre;25,50%
2024;Enero;20,60%
2024;Febrero;13,20%
2024;Marzo;11,00%
2024;Abril;8,80%
2024;Mayo;4,20%
2024;Junio;4,60%
2024;Julio;4,00%
2024;Agosto;4,20%
2024;Septiembre;3,50%
2024;Octubre;2,70%
2024;Noviembre;2,40%
2024;Diciembre;2,50%
2025;Enero;2,40%
2025;Febrero;2,10%
2025;Marzo;2,30%
2025;Abril;2,00%
2025;Mayo;2,10%
2025;Junio;1,80%
2025;Julio;1,70%
2025;Agosto;1,90%
2025;Septiembre;2,00%
2025;Octubre;1,70%
2025;Noviembre;2,90%
2025;Diciembre;2,80%
2026;Enero;2,60%
2026;Febrero;2,90%
2026;Marzo;3,40%
2026;Abril;2,60%
