Codigo;Descripcion;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;GBA
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
